Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
1.172,0.0,243.06,4.8,0,0,0,11,2,0
2.224,0.06,239.67,9.2,0,0,18,29,4,18
2.514,0.196,244.13,10.2,0,2,19,24,12,21
2.914,0.0,234.37,12.4,0,37,1,31,8,38
0.366,0.1,247.4,1.6,0,0,0,3,3,0
0.936,0.05,239.11,4.0,0,0,0,21,11,0
0.276,0.0,241.83,1.2,0,0,1,22,4,1
0.248,0.0,244.94,1.0,0,0,0,26,12,0
2.132,0.214,236.5,9.0,0,0,18,23,10,18
1.292,0.054,237.96,5.4,0,0,17,6,6,17
1.714,0.0,240.08,7.2,0,0,17,9,1,17
0.22,0.052,242.09,1.0,0,0,0,26,11,0
0.316,0.096,239.48,1.4,0,1,0,24,4,1
0.256,0.0,245.62,1.0,0,0,1,14,3,1
1.552,0.078,239.94,6.4,0,0,18,27,10,18
1.492,0.208,242.55,6.2,0,0,19,17,11,19
1.464,0.098,237.69,6.4,0,1,0,4,1,1
0.42,0.098,240.48,1.8,0,0,1,11,4,1
3.27,0.238,235.94,13.8,37,0,1,16,6,38
0.444,0.198,241.68,2.0,0,0,0,19,10,0
0.15,0.0,235.65,0.6,0,0,1,5,6,1
3.624,0.162,236.76,15.2,0,39,0,23,12,39
0.884,0.266,240.14,3.8,0,0,12,23,7,12
1.818,0.0,239.1,7.6,0,0,18,20,6,18
2.748,0.0,243.32,12.2,18,0,18,30,1,36
3.156,0.11,239.49,13.2,0,0,18,26,1,18
0.414,0.23,241.21,1.8,0,2,0,25,11,2
2.496,0.0,237.09,10.6,0,0,17,22,3,17
0.588,0.234,242.62,2.6,0,0,1,15,4,1
0.206,0.058,240.62,0.8,0,0,0,6,10,0
1.302,0.07,242.78,5.2,0,0,19,2,1,19
3.09,0.304,234.8,13.4,0,1,17,9,11,18
0.164,0.132,237.17,0.8,0,1,1,7,8,2
0.63,0.274,239.87,2.8,0,1,0,19,6,1
0.208,0.0,239.85,1.0,0,0,1,9,6,1
0.832,0.094,239.54,3.4,0,0,0,25,10,0
1.468,0.086,240.86,6.0,0,0,19,30,4,19
0.516,0.0,243.93,2.0,0,0,0,3,3,0
0.282,0.128,240.69,1.4,0,0,0,28,8,0
0.992,0.316,239.72,4.2,0,0,12,5,7,12
1.27,0.192,245.26,5.2,0,0,1,8,11,1
3.364,0.0,236.59,14.2,0,0,17,26,12,17
0.316,0.096,242.03,1.4,0,0,0,13,3,0
1.512,0.19,240.0,6.2,0,1,18,16,5,19
0.478,0.328,236.66,2.4,2,2,0,25,6,4
0.326,0.09,238.7,1.8,0,2,0,10,7,2
0.678,0.24,244.09,3.0,0,1,1,23,4,2
1.338,0.072,243.1,5.4,0,0,0,21,3,0
0.676,0.084,244.89,2.8,0,0,0,29,1,0
0.286,0.096,241.5,1.2,0,1,0,3,4,1
0.292,0.246,242.93,1.6,0,1,1,20,7,2
1.414,0.204,238.8,6.0,0,1,18,23,8,19
0.968,0.314,241.91,4.2,0,1,1,4,9,2
0.742,0.084,245.46,3.0,1,0,0,24,11,1
0.32,0.23,242.68,1.6,0,1,1,28,7,2
1.39,0.056,240.83,5.8,0,0,18,22,1,18
0.276,0.186,243.28,1.4,0,0,1,13,7,1
3.102,0.12,240.33,13.4,0,29,18,24,9,47
0.244,0.138,238.9,1.2,0,0,0,8,7,0
2.47,0.164,242.94,10.2,0,20,19,25,7,39
0.216,0.0,246.23,0.8,0,0,0,26,1,0
1.89,0.064,241.68,7.8,0,0,18,20,11,18
0.158,0.064,241.11,0.8,0,0,1,9,9,1
0.36,0.072,244.42,1.6,0,0,0,25,10,0
0.292,0.046,243.82,1.4,0,0,0,13,12,0
0.164,0.0,239.23,0.6,0,0,1,17,5,1
1.284,0.0,239.37,5.4,1,0,18,12,9,19
0.218,0.098,241.32,1.0,0,0,0,11,7,0
0.386,0.118,243.77,1.6,0,0,1,23,4,1
0.544,0.068,240.64,2.6,0,0,0,21,3,0
0.396,0.18,244.41,1.8,0,0,1,5,9,1
0.272,0.0,244.65,1.2,0,0,0,10,3,0
0.17,0.0,241.27,0.8,0,0,1,15,6,1
0.248,0.0,240.37,1.0,0,0,1,24,4,1
0.374,0.0,243.13,1.6,0,0,0,1,1,0
1.498,0.13,241.31,6.2,1,0,18,18,11,19
1.294,0.046,242.03,5.2,0,0,18,20,3,18
0.104,0.0,236.7,0.4,0,0,0,12,8,0
1.492,0.248,242.93,6.2,0,0,18,17,3,18
1.446,0.186,239.69,6.0,0,1,19,26,4,20
0.188,0.078,236.7,0.8,0,0,0,9,5,0
0.322,0.094,241.93,1.4,0,0,0,10,10,0
0.656,0.11,246.47,2.6,0,0,0,6,12,0
0.51,0.068,238.47,2.4,0,0,0,22,7,0
0.202,0.092,235.44,1.0,0,0,0,27,4,0
1.304,0.098,241.81,5.4,0,0,18,24,9,18
0.208,0.082,242.42,0.8,0,0,1,25,6,1
1.642,0.12,239.69,6.8,0,0,18,25,4,18
1.212,0.0,238.04,5.0,1,0,17,19,6,18
1.294,0.106,241.38,5.4,0,0,1,30,6,1
1.866,0.198,239.3,7.8,0,2,18,28,5,20
0.218,0.0,243.16,0.8,0,0,0,11,3,0
0.288,0.0,241.52,1.2,0,0,0,16,5,0
0.784,0.146,242.11,3.2,0,0,11,29,9,11
0.364,0.12,241.89,1.6,0,0,1,7,9,1
1.366,0.102,238.47,5.6,0,0,17,14,11,17
0.252,0.0,243.94,1.0,0,0,1,3,4,1
0.21,0.056,244.23,0.8,0,0,0,21,12,0
0.23,0.0,244.22,1.0,0,0,0,9,1,0
0.612,0.218,251.09,2.6,0,1,0,30,12,1
0.21,0.0,241.48,1.0,0,0,1,1,9,1
1.442,0.062,240.86,6.0,0,0,19,21,5,19
1.848,0.124,240.05,7.6,0,0,18,3,12,18
1.38,0.194,241.2,6.0,0,1,0,14,10,1
0.326,0.086,241.03,1.4,0,0,0,17,10,0
0.886,0.234,237.1,3.8,0,0,12,7,8,12
1.72,0.066,238.58,7.2,0,0,26,21,5,26
0.226,0.104,242.52,1.0,0,0,0,17,8,0
0.08,0.0,240.26,0.2,0,0,0,27,8,0
0.63,0.182,244.94,2.6,0,1,0,10,10,1
2.336,0.258,236.9,10.0,0,1,17,15,3,18
0.25,0.0,243.57,1.0,0,0,1,2,2,1
0.732,0.108,241.7,3.0,0,0,1,4,5,1
0.246,0.106,241.53,1.0,0,2,1,23,7,3
2.67,0.0,239.61,11.2,0,19,18,10,6,37
0.56,0.218,240.92,2.6,0,1,0,26,3,1
1.614,0.132,242.91,6.6,1,0,1,25,4,2
1.438,0.062,235.04,6.2,0,0,18,27,5,18
0.326,0.116,242.66,1.4,1,0,0,23,6,1
0.896,0.156,239.4,3.8,0,0,1,28,6,1
0.526,0.12,238.98,2.6,0,1,1,29,5,2
0.32,0.23,239.59,1.6,0,1,1,28,7,2
0.478,0.0,242.6,2.0,0,0,0,20,10,0
3.63,0.202,245.4,14.8,0,41,0,3,2,41
2.73,0.204,243.57,11.2,0,0,18,5,12,18
1.388,0.092,242.17,5.6,0,1,19,6,10,20
0.326,0.106,246.26,1.4,0,1,0,14,12,1
1.474,0.192,240.79,6.2,0,2,18,15,1,20
1.518,0.24,243.55,6.2,0,1,19,21,4,20
1.42,0.084,239.09,6.0,0,0,18,30,8,18
0.238,0.066,240.89,1.0,0,0,0,9,7,0
1.806,0.306,238.39,7.6,0,1,18,31,3,19
1.832,0.25,238.36,8.2,0,0,18,28,4,18
1.29,0.0,240.91,5.2,0,0,19,16,9,19
1.926,0.0,238.14,8.0,0,0,18,15,9,18
0.372,0.164,244.62,1.6,0,1,0,13,7,1
2.646,0.328,237.43,11.2,0,1,17,2,2,18
3.502,0.08,237.67,14.6,38,1,18,15,6,57
0.416,0.214,242.02,1.8,0,1,1,19,2,2
0.224,0.0,241.35,1.0,0,0,0,7,3,0
0.278,0.112,242.1,1.2,0,0,1,15,6,1
0.132,0.0,243.21,0.6,0,0,0,12,7,0
0.412,0.09,239.57,1.8,0,0,0,1,2,0
1.002,0.092,244.9,4.2,2,0,0,18,12,2
0.452,0.202,244.08,2.0,0,0,0,2,4,0
0.39,0.218,240.58,1.8,0,0,1,26,10,1
1.75,0.052,239.9,7.4,0,0,18,18,10,18
0.44,0.286,243.9,2.0,0,2,1,11,12,3
0.912,0.11,242.68,3.8,0,0,1,24,11,1
1.118,0.06,238.41,4.6,0,0,0,29,1,0
0.794,0.15,237.56,3.4,0,0,0,25,3,0
0.122,0.0,234.09,0.6,0,0,0,11,8,0
1.604,0.204,236.92,6.8,0,1,17,21,3,18
1.294,0.112,242.61,5.2,0,2,0,4,1,2
0.266,0.122,241.58,1.2,0,0,1,4,8,1
1.158,0.0,236.49,4.8,0,0,17,26,6,17
0.426,0.326,241.05,2.2,0,1,1,30,6,2
0.332,0.0,239.82,1.4,0,0,1,22,5,1
0.2,0.132,239.16,1.0,0,0,0,16,8,0
0.25,0.0,247.64,1.2,0,0,0,5,2,0
0.196,0.056,241.64,0.8,0,0,1,2,6,1
1.508,0.186,239.25,6.2,0,0,18,2,5,18
0.208,0.106,243.45,0.8,0,0,0,12,7,0
3.218,0.074,241.54,13.2,0,0,18,17,12,18
0.238,0.0,241.4,1.0,0,0,0,1,4,0
0.218,0.0,241.03,1.0,0,0,0,23,10,0
3.93,0.09,238.35,16.4,0,36,17,19,12,53
0.282,0.052,231.56,1.2,0,0,0,25,5,0
0.41,0.082,240.86,1.8,0,0,0,22,4,0
0.686,0.25,243.51,3.0,0,1,1,19,7,2
0.434,0.108,239.82,2.0,0,0,1,31,7,1
0.966,0.094,243.97,3.8,0,0,1,22,3,1
0.114,0.0,240.78,0.6,0,0,1,15,8,1
1.094,0.12,240.48,5.2,0,0,0,17,7,0
1.578,0.072,241.76,6.4,0,2,18,28,11,20
2.022,0.094,242.05,8.2,0,0,19,11,5,19
3.508,0.192,231.16,15.2,0,31,17,21,2,48
1.186,0.0,242.03,4.8,0,0,0,12,1,0
0.738,0.0,242.97,3.0,0,0,0,20,3,0
2.886,0.0,243.9,11.8,0,21,19,13,2,40
3.574,0.0,239.04,14.8,1,37,17,24,1,55
7.356,0.326,233.94,31.6,29,35,27,30,12,91
1.238,0.0,241.96,5.0,0,0,19,20,5,19
3.07,0.35,246.43,12.6,0,25,19,3,2,44
0.296,0.082,239.7,1.2,0,2,1,14,4,3
3.042,0.214,233.73,13.0,0,36,0,30,5,36
2.656,0.214,242.14,11.0,39,0,1,21,7,40
1.59,0.218,236.96,6.8,1,4,18,18,4,23
2.284,0.05,243.16,9.4,0,0,0,23,12,0
1.972,0.212,237.18,8.4,1,1,17,22,2,19
0.344,0.104,243.14,1.4,0,2,0,11,3,2
1.346,0.076,240.15,5.6,0,0,17,30,12,17
0.886,0.066,246.33,3.6,0,0,0,27,1,0
1.336,0.094,239.94,5.4,1,0,18,16,6,19
0.428,0.312,245.92,2.2,0,0,0,7,1,0
0.69,0.05,242.99,2.8,0,0,1,30,8,1
0.176,0.08,239.98,0.8,0,1,0,23,9,1
3.754,0.28,235.02,16.2,8,6,17,22,2,31
0.204,0.0,244.75,0.8,0,0,1,21,5,1
1.462,0.184,241.66,6.0,0,2,18,26,11,20
0.59,0.362,243.79,2.8,0,1,0,12,10,1
2.376,0.0,242.68,9.8,0,19,18,28,3,37
0.772,0.216,242.72,3.2,0,0,0,18,12,0
6.316,0.16,240.37,26.2,38,34,17,3,2,89
0.608,0.25,241.15,2.8,0,1,0,12,9,1
1.14,0.0,236.03,4.8,0,0,17,3,5,17
1.362,0.056,238.17,5.6,0,1,18,25,2,19
0.352,0.272,238.34,2.0,0,2,0,26,6,2
0.6,0.0,243.3,2.4,0,0,1,21,10,1
0.46,0.0,242.86,2.0,0,0,1,27,4,1
2.414,0.052,236.61,10.2,1,0,17,19,9,18
0.268,0.212,239.82,1.4,0,1,0,23,9,1
1.53,0.226,244.83,6.2,0,1,19,4,2,20
0.234,0.124,241.71,1.0,0,0,1,26,6,1
0.43,0.22,242.34,2.0,0,0,1,8,6,1
0.126,0.0,240.98,0.4,0,0,1,29,9,1
0.216,0.104,232.63,1.0,0,0,0,2,5,0
1.32,0.112,242.26,5.4,0,0,18,8,9,18
2.892,0.244,234.6,12.2,0,0,18,5,2,18
1.004,0.31,235.99,4.4,0,0,1,10,6,1
2.098,0.248,240.04,8.8,0,1,18,14,9,19
3.588,0.066,236.93,15.2,0,0,17,22,2,17
1.818,0.14,233.93,9.0,0,24,0,3,10,24
1.47,0.128,240.13,6.0,0,0,1,1,11,1
0.26,0.102,239.92,1.2,0,1,1,9,9,2
0.5,0.314,241.88,2.6,0,1,2,30,3,3
0.222,0.0,242.37,1.0,0,0,0,23,2,0
0.272,0.068,243.51,1.2,0,1,0,31,10,1
1.804,0.648,235.69,8.8,0,4,0,3,7,4
1.288,0.0,242.14,5.2,0,0,18,29,10,18
0.208,0.0,237.21,0.8,0,0,0,26,2,0
0.402,0.266,243.93,2.0,0,1,0,5,1,1
1.822,0.05,237.97,7.6,0,0,0,20,11,0
2.764,0.07,243.1,11.4,1,0,18,11,1,19
0.998,0.118,241.76,4.2,1,0,1,13,6,2
2.126,0.194,238.8,8.8,0,2,18,4,10,20
0.19,0.152,241.31,1.0,0,0,1,18,8,1
1.524,0.056,238.98,6.4,0,0,18,26,11,18
0.478,0.334,240.09,2.4,0,2,1,8,9,3
2.108,0.242,239.8,8.8,0,0,30,2,6,30
0.26,0.066,239.97,1.2,0,0,1,4,9,1
0.24,0.0,243.06,1.0,0,0,0,12,2,0
4.06,0.394,234.2,18.0,20,2,17,21,11,39
0.298,0.212,242.62,1.4,0,1,1,26,7,2
0.08,0.0,241.26,0.2,0,0,0,14,8,0
0.982,0.22,240.28,4.2,0,0,0,9,5,0
0.52,0.208,245.08,2.2,0,0,0,15,12,0
0.238,0.108,242.09,1.0,0,0,0,19,6,0
0.208,0.0,244.68,1.0,0,0,1,10,6,1
0.29,0.0,239.54,1.2,0,0,0,24,5,0
0.618,0.128,237.15,2.6,0,0,0,22,7,0
0.408,0.238,242.72,2.0,0,0,0,2,11,0
0.308,0.102,245.54,1.2,0,0,0,29,12,0
0.418,0.25,246.47,2.0,0,1,1,1,2,2
1.698,0.28,242.41,7.0,0,2,18,24,1,20
4.54,0.0,231.06,19.6,0,0,0,18,5,0
3.97,0.218,236.53,16.8,1,38,0,8,11,39
2.656,0.0,239.02,11.0,0,0,18,14,4,18
0.332,0.27,243.28,1.6,0,2,1,28,7,3
2.908,0.128,235.02,13.0,18,0,29,18,6,47
0.258,0.162,243.18,1.2,0,0,0,12,8,0
1.506,0.11,239.61,6.4,0,19,0,19,11,19
0.702,0.154,240.73,3.0,1,0,0,13,7,1
0.452,0.0,240.96,1.8,0,1,0,4,7,1
0.138,0.0,243.44,0.8,0,0,0,22,8,0
0.214,0.0,239.39,0.8,0,0,0,13,4,0
1.688,0.0,245.4,6.8,1,0,19,21,10,20
0.7,0.072,242.12,3.0,0,0,0,26,1,0
1.74,0.17,241.64,7.2,0,1,18,5,3,19
0.412,0.202,242.57,1.8,0,0,0,6,2,0
0.354,0.096,241.81,1.6,0,0,1,5,6,1
0.38,0.064,240.22,1.6,0,0,1,18,7,1
0.224,0.106,235.47,1.0,0,0,0,8,5,0
0.302,0.11,242.8,1.2,0,0,0,29,10,0
1.364,0.146,244.69,5.6,0,0,0,20,1,0
0.22,0.0,237.22,1.0,0,0,0,2,6,0
1.24,0.0,240.14,5.0,0,0,18,18,6,18
0.222,0.086,242.01,1.0,0,0,1,16,5,1
2.35,0.0,235.87,9.8,0,0,17,19,1,17
0.288,0.228,238.44,1.4,0,0,0,28,7,0
0.284,0.088,242.92,1.2,0,0,1,22,9,1
0.332,0.14,242.03,1.6,0,1,1,1,9,2
1.44,0.218,238.61,6.0,0,2,17,8,2,19
0.162,0.142,241.35,0.8,0,1,1,13,8,2
0.302,0.104,244.58,1.2,0,1,1,28,10,2
0.4,0.134,242.51,1.8,0,0,0,31,8,0
0.486,0.0,243.8,2.2,0,0,0,22,3,0
0.396,0.066,244.93,1.8,0,1,0,5,3,1
0.904,0.296,240.17,4.0,0,1,0,27,3,1
3.66,0.766,240.73,16.0,0,0,18,21,7,18
0.528,0.06,249.12,2.2,0,0,0,24,3,0
4.51,0.216,237.19,19.0,37,18,17,15,6,72
2.792,0.366,237.88,12.2,0,22,18,13,6,40
3.306,0.284,239.78,13.8,0,1,18,10,1,19
0.922,0.128,238.9,4.4,0,1,9,24,6,10
0.498,0.15,244.64,2.0,0,0,0,19,12,0
1.63,0.058,235.59,6.8,0,0,17,4,10,17
0.254,0.0,248.41,1.0,0,0,0,14,12,0
0.52,0.0,244.36,2.2,0,0,0,25,1,0
0.644,0.304,240.18,3.8,0,0,1,14,7,1
1.634,0.152,239.54,6.8,1,0,18,17,6,19
2.38,0.202,235.96,10.0,0,0,17,15,5,17
2.872,0.476,242.03,12.0,0,1,18,30,12,19
1.482,0.206,238.05,6.2,2,1,18,17,3,21
0.62,0.236,245.12,2.6,0,1,1,6,3,2
0.234,0.088,239.27,1.0,0,0,0,8,8,0
0.514,0.06,242.34,2.0,0,0,0,25,7,0
2.06,0.0,237.53,8.6,0,0,17,19,3,17
1.016,0.492,240.74,4.6,0,2,12,22,8,14
0.48,0.12,242.8,2.0,0,0,0,10,7,0
1.438,0.088,240.97,6.0,0,0,18,22,4,18
3.138,0.214,242.25,12.8,1,0,18,28,3,19
0.322,0.11,241.63,1.4,0,0,0,7,11,0
0.93,0.284,239.13,4.0,0,1,12,25,6,13
0.37,0.118,239.72,1.6,1,0,0,19,7,1
0.204,0.0,242.98,0.8,0,0,0,4,11,0
1.34,0.064,238.63,5.6,0,0,18,6,4,18
0.336,0.11,240.51,1.4,0,0,0,26,4,0
0.294,0.132,239.22,1.4,0,2,0,9,1,2
6.408,0.328,233.08,27.6,0,28,16,23,11,44
1.678,0.064,244.93,6.8,0,0,19,10,2,19
5.074,0.158,238.87,21.2,0,75,0,13,3,75
0.308,0.246,243.47,1.6,0,2,1,3,7,3
0.236,0.0,243.0,1.0,0,0,0,1,2,0
0.308,0.0,236.58,1.2,0,0,0,27,4,0
0.328,0.11,244.32,1.4,0,2,1,15,1,3
1.33,0.05,245.77,5.4,0,0,19,8,3,19
2.29,0.0,239.6,9.4,0,0,0,3,2,0
0.354,0.116,244.93,1.4,0,0,1,16,10,1
1.314,0.078,233.95,5.6,0,0,16,4,8,16
2.358,0.0,242.78,9.6,0,0,0,20,2,0
1.576,0.332,242.33,6.6,0,1,19,4,5,20
2.8,0.096,239.67,11.6,0,0,18,28,12,18
0.35,0.094,241.96,1.4,0,0,0,10,5,0
1.848,0.134,241.86,7.6,0,0,18,26,12,18
1.432,0.15,244.8,5.8,0,0,18,17,3,18
0.174,0.0,242.86,0.8,0,0,1,11,6,1
1.592,0.19,241.88,6.6,0,0,19,14,10,19
1.354,0.078,240.67,5.6,0,1,18,27,3,19
0.226,0.116,240.34,1.0,0,0,0,10,7,0
2.382,0.0,239.99,9.8,0,0,0,31,3,0
0.24,0.0,244.74,1.0,0,0,0,2,2,0
0.438,0.096,238.5,2.0,0,0,1,29,6,1
1.534,0.0,241.56,6.4,0,0,18,10,1,18
0.818,0.07,234.19,3.4,0,0,12,3,8,12
1.906,0.136,237.27,8.0,0,0,29,3,6,29
0.392,0.162,242.78,2.0,0,0,0,14,7,0
0.374,0.116,242.97,1.6,0,1,0,13,3,1
0.572,0.44,239.55,3.0,1,2,0,27,9,3
1.298,0.0,235.62,5.4,0,0,17,12,2,17
0.286,0.074,239.9,1.2,0,2,0,27,9,2
1.382,0.182,236.02,5.8,0,0,17,5,6,17
0.332,0.0,247.0,1.4,0,0,0,5,12,0
0.352,0.128,242.11,1.6,0,0,0,6,9,0
0.264,0.058,242.17,1.2,0,0,0,1,3,0
2.382,0.13,240.41,9.8,2,5,1,19,10,8
0.158,0.0,240.72,0.8,0,0,1,1,8,1
0.296,0.066,247.5,1.2,0,2,0,18,1,2
1.38,0.086,239.86,5.6,0,0,17,22,11,17
2.268,0.184,240.4,9.4,0,0,18,1,2,18
0.696,0.0,239.34,3.2,0,2,0,15,11,2
0.318,0.09,240.1,1.4,0,0,0,1,11,0
2.106,0.054,242.05,8.6,0,0,18,23,12,18
2.546,0.09,242.71,10.4,0,0,0,27,1,0
0.242,0.052,234.62,1.0,0,0,0,7,6,0
0.426,0.132,245.83,2.0,0,0,1,3,12,1
2.308,0.194,238.82,9.6,0,0,17,29,3,17
0.236,0.086,240.84,1.0,0,0,1,16,6,1
0.392,0.248,246.0,1.8,0,1,0,20,3,1
0.29,0.074,244.25,1.2,0,0,0,12,12,0
0.298,0.056,242.64,1.2,0,0,1,15,10,1
1.772,0.152,242.0,7.2,0,0,18,23,2,18
0.372,0.338,241.03,2.0,0,1,0,5,7,1
1.458,0.074,250.89,5.8,0,0,20,2,2,20
0.386,0.328,239.06,2.0,0,1,1,27,6,2
0.238,0.048,241.17,1.0,0,0,0,21,2,0
7.462,0.292,234.4,32.0,0,2,17,22,11,19
1.45,0.082,240.45,6.0,0,0,18,31,3,18
1.372,0.088,238.91,5.6,0,0,18,12,11,18
1.294,0.0,243.83,5.2,0,0,0,23,2,0
0.872,0.272,241.62,3.8,0,0,12,10,8,12
0.322,0.114,242.1,1.4,0,0,0,24,2,0
0.422,0.14,244.7,1.8,0,0,1,26,8,1
0.392,0.18,239.8,1.8,0,1,0,20,5,1
3.2,0.324,236.46,13.6,0,0,26,3,11,26
0.666,0.092,242.66,2.8,0,0,0,22,3,0
0.324,0.184,239.85,1.6,0,0,1,10,7,1
1.816,0.1,239.31,7.6,1,1,18,11,6,20
1.452,0.056,244.0,5.8,0,1,18,3,3,19
0.206,0.07,241.09,1.0,0,0,0,28,6,0
0.39,0.214,241.37,1.8,0,2,0,5,4,2
0.41,0.216,244.34,1.8,0,0,1,11,4,1
0.244,0.11,239.64,1.2,0,2,1,7,7,3
0.612,0.102,240.68,2.6,0,4,1,19,6,5
0.436,0.374,241.25,2.4,0,1,1,26,6,2
1.8,0.256,237.91,7.6,0,0,0,24,1,0
0.59,0.098,238.36,2.4,0,0,0,2,3,0
0.236,0.072,241.78,1.0,0,1,1,24,9,2
1.978,0.188,240.54,8.8,9,0,19,21,6,28
0.306,0.138,243.23,1.4,0,0,1,8,7,1
0.338,0.066,241.27,1.4,0,0,0,28,9,0
0.8,0.17,241.93,3.4,0,0,12,11,9,12
0.424,0.226,243.71,2.0,0,0,0,10,4,0
0.656,0.084,244.37,2.8,0,2,1,4,5,3
0.308,0.236,241.02,1.6,0,0,0,31,5,0
0.136,0.0,240.51,0.6,0,0,1,8,8,1
0.24,0.114,243.36,1.0,0,2,0,5,8,2
0.404,0.182,241.93,1.8,0,1,1,9,10,2
1.482,0.0,241.44,6.0,1,1,18,10,4,20
0.768,0.162,242.73,3.2,0,0,1,1,7,1
1.282,0.108,237.83,5.4,0,1,18,22,9,19
1.338,0.048,242.34,5.4,0,0,18,1,4,18
1.304,0.182,234.21,5.6,0,0,16,14,8,16
0.304,0.092,240.37,1.4,0,2,1,13,9,3
0.682,0.0,245.16,2.8,1,0,1,14,9,2
0.324,0.232,239.1,1.6,0,1,1,31,7,2
0.368,0.154,245.67,1.8,0,0,0,5,3,0
0.284,0.056,244.26,1.2,0,0,0,26,10,0
1.448,0.094,240.52,6.0,0,0,18,24,4,18
0.38,0.182,241.6,1.6,0,0,0,26,10,0
0.896,0.304,243.14,4.0,0,2,1,20,6,3
0.868,0.24,241.53,3.8,0,0,11,17,8,11
0.864,0.0,241.72,3.6,0,0,0,23,11,0
0.342,0.088,243.14,1.4,0,1,0,1,4,1
0.422,0.26,244.17,2.0,0,1,0,15,2,1
0.174,0.148,238.89,0.8,0,0,1,12,8,1
0.848,0.102,244.22,3.4,0,0,1,7,4,1
0.42,0.0,236.36,1.8,0,0,0,7,8,0
0.488,0.0,246.15,2.2,0,1,0,3,11,1
1.364,0.0,237.45,5.8,0,0,17,21,1,17
0.26,0.08,243.36,1.2,0,0,0,5,6,0
0.406,0.13,243.73,1.8,0,0,0,2,5,0
0.4,0.344,239.98,2.2,0,1,0,3,7,1
0.202,0.056,237.22,0.8,0,0,0,3,10,0
2.13,0.06,236.31,9.0,0,0,18,12,11,18
1.552,0.196,242.56,6.4,2,0,18,4,4,20
2.474,0.112,242.02,10.2,0,1,18,29,12,19
5.896,0.17,234.81,25.6,38,52,0,29,9,90
0.634,0.23,244.13,2.8,0,0,0,6,2,0
2.546,0.0,240.39,10.6,0,2,18,19,9,20
1.782,0.088,244.47,7.2,0,0,18,14,1,18
0.366,0.134,247.75,1.6,0,0,1,11,3,1
0.392,0.136,247.44,1.8,0,0,0,2,1,0
0.418,0.236,241.1,2.0,0,1,1,26,4,2
0.426,0.218,245.36,2.0,0,0,1,20,11,1
1.378,0.222,239.17,5.8,0,2,18,25,9,20
0.256,0.128,242.14,1.2,0,0,0,15,6,0
0.448,0.252,243.02,2.0,0,1,0,26,4,1
0.654,0.106,242.35,2.8,0,0,1,14,6,1
3.844,0.248,235.14,16.6,0,35,18,13,4,53
0.156,0.0,241.09,0.6,0,0,0,9,8,0
0.626,0.302,243.93,3.0,0,6,1,27,8,7
0.228,0.0,247.33,1.0,0,0,0,23,11,0
3.65,0.184,240.02,15.2,0,18,17,5,2,35
0.24,0.128,244.97,1.0,0,0,1,31,7,1
1.446,0.0,238.17,6.0,0,1,18,29,9,19
1.328,0.0,239.65,5.4,1,0,0,31,5,1
0.312,0.1,245.88,1.2,0,0,0,17,12,0
0.302,0.132,243.48,1.4,0,0,1,7,6,1
0.292,0.05,242.02,1.2,1,0,0,19,2,1
1.74,0.26,237.22,7.4,0,1,18,1,10,19
0.202,0.1,239.05,1.0,0,1,0,10,7,1
0.102,0.0,240.34,0.4,0,0,0,18,8,0
1.666,0.224,235.28,7.0,0,0,17,15,8,17
0.208,0.0,245.1,0.8,0,0,0,21,12,0
1.348,0.076,236.57,5.6,0,0,18,17,11,18
1.644,0.28,243.89,6.8,0,0,19,14,1,19
1.116,0.4,239.05,5.0,0,1,11,3,7,12
0.832,0.196,242.31,3.4,0,0,10,9,11,10
0.23,0.0,243.79,1.0,0,0,0,3,4,0
2.08,0.21,243.89,8.4,0,1,19,22,3,20
0.348,0.0,240.62,1.4,0,0,0,21,11,0
0.322,0.17,243.55,1.4,0,1,1,6,9,2
0.318,0.27,241.38,1.6,0,2,1,27,8,3
0.996,0.424,240.7,4.4,0,1,1,29,10,2
2.114,0.052,243.37,8.6,0,0,18,28,1,18
1.424,0.07,243.5,5.8,0,0,19,6,1,19
1.414,0.05,239.51,5.8,0,0,18,27,1,18
0.22,0.0,243.48,0.8,0,0,0,26,2,0
1.476,0.0,234.13,6.2,0,0,0,29,12,0
0.896,0.0,242.11,3.6,0,0,0,26,9,0
1.55,0.066,239.68,6.4,0,0,18,29,11,18
1.922,0.256,240.72,8.0,0,0,0,4,3,0
1.434,0.106,244.86,5.8,0,1,19,21,4,20
0.296,0.082,248.59,1.2,0,0,0,17,12,0
1.404,0.176,238.52,5.8,0,2,17,5,9,19
0.308,0.054,244.1,1.4,0,0,0,21,10,0
1.418,0.052,241.02,5.8,0,0,18,20,5,18
0.408,0.226,242.89,1.8,0,2,0,20,10,2
2.83,0.06,229.41,12.6,1,1,17,1,5,19
0.566,0.09,243.52,2.2,0,0,0,9,4,0
0.432,0.316,236.64,2.2,0,2,1,5,6,3
0.282,0.186,235.83,1.6,1,0,0,22,7,1
0.23,0.0,244.4,1.0,0,0,0,1,2,0
0.466,0.29,242.41,2.2,0,1,0,10,9,1
2.384,0.406,241.6,10.0,2,1,19,12,4,22
0.542,0.09,243.09,2.2,1,0,0,15,11,1
